REF,NomRecette,TypeApplication,IngredientsHE,IngredientsHV,IngredientsTisane,Explication,Note
35,Douleurs musculaires,Cutanée,"10 gouttes,11;30 gouttes,14;2 gouttes,27","2 c. à soupe,12",,"Appliquez sur la zone douloureuse et massez longuement pour sentir chauffer le muscle et faire pénétrer entiérement le mélange. 2 à 3 fois par jour, jusqu'à disaprition de la douleur.",
36,Douleurs musculaires,Cutanée,"10 gouttes,11;30 gouttes,14;2 gouttes,27;3 gouttes,19","2 c. à soupe,12",,"Appliquez sur la zone douloureuse et massez longuement pour sentir chauffer le muscle et faire pénétrer entiérement le mélange. 2 à 3 fois par jour, jusqu'à disaprition de la douleur.",L'ajout d'huile essentielle d'Hélichryse italienne est idéal pour les sportifs.
37,Douleurs musculaires,Cutanée,"10 gouttes,11;30 gouttes,14;2 gouttes,27;3 gouttes,50","2 c. à soupe,12",,"Appliquez sur la zone douloureuse et massez longuement pour sentir chauffer le muscle et faire pénétrer entiérement le mélange. 2 à 3 fois par jour, jusqu'à disaprition de la douleur.",L'ajout d'huile essentielle de romarin à camphre est idéal en cas de crampes.
38,Douleurs musculaires,Cutanée,"10 gouttes,11;30 gouttes,14;2 gouttes,27;1 goutte,10","2 c. à soupe,12",,"Appliquez sur la zone douloureuse et massez longuement pour sentir chauffer le muscle et faire pénétrer entiérement le mélange. 2 à 3 fois par jour, jusqu'à disaprition de la douleur.",L'ajout d'huile essentielle d'Estragon est idéal en cas de spasmes.
39,Eczéma sec,Cutanée,"4 gouttes,22;2 gouttes,46;2 gouttes,42","1 c. à café,3;2 c. à café,2",,"Appliquez 8 à 10 gouttes du mélange sur les zones concernées et massez doucement jusqu'à pénétration complète, 2 à 3 fois par jour.",
40,Eczéma suitant,Cutanée,"4 gouttes,22;2 gouttes,8;2 gouttes,19","1 c. à café,3;2 c. à café,2",,"Appliquez 8 à 10 gouttes du mélange sur les zones concernées et massez doucement jusqu'à pénétration complète, 2 à 3 fois par jour.",
41,Escarres/Ulcères cutanés,Cutanée,"1 goutte,5;1 goutte,20;1 goutte,19","1 c. à soupe,3",,"Appliquez quelques gouttes du mélange très doucement, par ""effleurage"", autour de la zone concernée, 2 à 3 fois par jour.",
42,Fatigue physique,Cutanée,"1 goutte,36;1 goutte,43;3 gouttes,9","1 c. à soupe,7",,"Appliquez le mélange au bas du dos (au niveau des glandes surrénales, au-dessus des reins), 1 à 3 fois par jour jusqu'au retour de la forme.",
43,Fatigue physique,Olfaction,"1 flacon,9",,,"Respirez calmement au flacon durant 1 à 2 minutes toutes les heures, avec de grandes inspirations et expirations.",
44,Fatigue nerveuse,Cutanée,"1 goutte,36;3 gouttes,34","1 c. à soupe,2",,"Appliquez le mélange à l'intérieur des avants bras, surtout au niveau des poignets, le long de la colonne vertébrale et sur la plante des pieds, 1 à 3 fois par jour jusqu'au retour de la forme.",
45,Fatigue nerveuse,Cutanée,"1 goutte,34",,,Appliquez sur le plexus solaire 2 à 4 fois par jour.,
46,Fatigue nerveuse,Olfaction,"1 flacon, 22;1 flacon,34",,,Mélangez ces deux huiles à parts égales et respirez le mélange autant que nécessaire.,
47,Fatigue émotinnelle,Olfaction,"1 flacon,9",,,"Respirez calmement au flacon durant 1 à 2 minutes toutes les heures, avec de grandes inspirations et expirations.",
48,Fièvre,Diffusion,"5 gouttes,13;5 gouttes,36",,,Diffusez 2 à 3 fois par jour durant 10 minutes dans les pièces à vivre.,La fièvre est toujours une alerte qui doit donner lieu à une consultation médicale en cas de température haute et/ou prolongée.
49,Fièvre,Bain aromatique,"6 gouttes,36",,,Mélangez dans un fond de savon liquide et versez dans l'eau du bain. L'eau sera de préférence d'un degrès inférieur que la fièvre constatée. La durée du bain ne doit pas excéder 20 minutes.,La fièvre est toujours une alerte qui doit donner lieu à une consultation médicale en cas de température haute et/ou prolongée.
50,Fièvre,Cutanée,"3 gouttes,13;5 gouttes,36;2 gouttes,42","1 c. à soupe,3",,"Appliquez le mélange sur le dos, en regard des poumons, le long de la colonne vertébrale, sur l'intérieur des poignets et le thorax. Massez jusqu'à pénétration complète, 2 à 3 fois par jour.",La fièvre est toujours une alerte qui doit donner lieu à une consultation médicale en cas de température haute et/ou prolongée.
51,Foulure/Entorse/Elongation,Cutanée,"5 gouttes,14;3 gouttes,11","1 c. à soupe,12",,"Appliquez quelques gouttes du mélange sur la zone douloureuse et faites pénétrer doucement, 2 à 3 fois par jour (jusqu'à 6 fois) jusqu'à guérison.",
52,Gastro-entérite,Cutanée,"6 gouttes,42","1c. à soupe,1",,"Aplliquez quelques gouttes du mélange sur le bas-ventre et/ou sur la plante des pieds, et massez jusqu'à pénétration complète. 2 à 3 fois par jour.",
53,Gastro-entérite,Voie orale,"1 goutte,4;1 goutte,6",,,"A prendre sur un sucre après les principaux repas, pendant maximum 4 jours.","Les doses et la durée recommandées ici, ne doivent absolument pas être dépassées!"
54,Gastro-entérite,Voie orale,"8 gouttes,38;16 gouttes,6;8 gouttes,43",,,Prenez 1 à 2 gouttes du mélange sur une cuillère à café de miel après les principaux repas,
55,Maux de gorge,Cutanée,"4 gouttes,42;4 gouttes,52;2 gouttes,36","10ml,6",,"Appliquez doucement 4 gouttes du mélange sur le cou, 4 à 6 fois par jour.",
56,Maux de gorge,Voie orale,"1 goutte,47",,,"A prendre sur un demi sucre, ou un peu de miel, trois fois par jour.",Recommandé notamment chez les chanteurs et les personnes devant beaucoup parler.
57,Maux de gorge,Voie orale,"2 gouttes,6;4 gouttes,43",,,"Mélangez dans 250 grammes de miel liquide, prenez un cuillierée à café 2 fois par jour, au besoin.",Recommandé notamment chez les chanteurs et les personnes devant beaucoup parler.
58,Grippe/Etat grippal,Diffusion,"10 gouttes,36",,,Diffuser 3 fois par jour durant 5 à 10 minutesdans toutes les pièces à vivre.,
59,Grippe/Etat grippal,Olfaction,"6 gouttes,36;5 gouttes,13;5 gouttes,53;1 goutte,27",,,"Déposez sur un stick inhalateur ou un mouchoir, et respirez 6 fois par jour.",
60,Grippe/Etat grippal,Bain aromatique,"10 gouttes,36;10 gouttes,13",,,"Mélangez d'un un peu de savon liquide et versez dans l'eau du bain. Mettre l'eau du bain à deux degrès de moins que votre température corporelle (ex: si fièvre=39°C, eau=37°C). Augmentez la température du bain à 40°C, restez 5 minutes (maximum!) et enveloppez-vous dans une serviette chaude pour activer la sudation.",Le bain très chaud est déconseillé en cas d'hypertension ou de problèmes cardiaques. On préconisera une eau à 37°C dans ce cas.
61,Grippe/Etat grippal,Cutanée,"15 gouttes,42;15 gouttes,36;15 gouttes,37","9ml,3",,"Appliquez quelques gouttes sur l'intérieur des poignets, le thorax, le haut du dos et le long de la colonne vertébrale, 3 à 6 fois par jour pendant 6 à 7 jours.",
62,Grippe/Etat grippal,Voie orale,"3 gouttes,6;4 gouttes,43;",,,"Mélangez dans 250 grammes de miel liquide, prenez un cuillierée à café 2 à 3 fois par jour.",Ce miellat est immunostimulant.
63,Hématome/Bleu,Cutanée,"6 gouttes,22;6 gouttes,19;2 gouttes,8","1 c. à soupe,12",,"Appliquez du bout des doigts quelques gouttes du mélange sur la zone atteinte, en dépassant un peu. Laissez à l'air libre jusqu'à pénétration. 2 à 4 fois par jour jsqu'à disparition de l'hématome.",
64,Herpès labiale,Cutanée,"10 gouttes,36;10 gouttes30;2 gouttes,27","10ml,6",,"Massez 1 à 2 gouttes du mélanges dès les premiers symptômes, toutes les 2 heurs jusqu'à disparition. 5 fois par jour au minimum.",
65,Herpès génital,Cutanée,"5 gouttes,36;5 gouttes30;1 gouttes,27","10ml,6",,"Massez 1 à 2 gouttes du mélanges dès les premiers symptômes, toutes les 2 heurs jusqu'à disparition. 5 fois par jour au minimum.","Ce mélange est volontairement moins dosé car les muqueuses peuvent réagir plus fortement au traitement (picotement, sensation de brûlure.)"
66,"Immunité (épidémies, fatigue importante...)",Cutanée,"15 gouttes,36;15 gouttes,13;10 gouttes,42","9ml,1",,"Appliquez quelques gouttes du mélange sur le haut du dos en regard des poumons et le long de la colonne vertébrale (adultes et enfants de plus de 7 ans). A pratiquez par cures d'une semaine, en espaçant les cures de 10 jours minimum.",
67,"Immunité (épidémies, fatigue importante...)",Bain aromatique,"4 gouttes,36;4gouttes,13;2 gouttes,42",,,"Mélangez dans un fond de savon liquide et versez dans l'eau du bain. L'eau sera de préference à 37°C. Durée du bain 20 minutes, pendant 5 à 7 jours.",
68,"Immunité (épidémies, fatigue importante...)",Voie orale,"2 gouttes,6;1 goutte,43",,,"A prendre avec un cuillère à café de miel, 2 fois par jour après les repas, pendant une semaine. Attendre une semainet e recommencer.",
69,Immunité (déficience importante),Cutanée,"10 gouttes,9;20 gouttes,36;20 gouttes,13;10 gouttes,42","13ml,1",,"Appliquez quelques gouttes du mélange sur l'intérieur des poignets, sur le haut du dos en regard des poumons, le long de la colonne vertébrale (adultes et enfants de plus de 7 ans), et la voûte plantaire. A pratiquez par cures d'une semaine, en espaçant les cures de 10 jours minimum.",
70,Immunité (déficience importante),Bain aromatique,"2 gouttes,9;4 gouttes,36;4 gouttes,13;2 gouttes,42",,,"Mélangez dans un fond de savon liquide et versez dans l'eau du bain. L'eau sera de préference à 37°C. Durée du bain 20 minutes, pendant 5 à 7 jours.",
71,Immunité (déficience importante),Voie orale,"5 gouttes,4;5 gouttes,18;5 gouttes,32;35 gouttes,6",,,"Prenez 1 à 2 gouttes du mélange (maximum!), dans une cuillère à soupe de miel, 1 à 2 fois par jour, après les repas, durant 5 à 7 jours.",
72,Infection uriniaire,Cutanée,"3 gouttes,41;10 gouttes,42;3 gouttes,1","9ml,3",,"Appliquez 8 gouttes du mélange, 3 à 5 fois par jour, sur le bas du ventre et le bas du dos, pendant 1 semaine.",Ne jamais appliquez d'huiles essentielles directement sur l'urètre et les muqueuses en générale!
73,Infection uriniaire,Voie orale,"9 gouttes,41;30 gouttes,42;9 gouttes,1",,,"Prenez 2 gouttes du mélange dans une cuillère à café de miel, 2 à 3 fois par jour après les repas, pendant 1 semaine.",
74,Infections virales,Olfaction,"1 flacon,36",,,"Respirez calmement au flacon durant 1 à 2 minutes toutes les heures, avec de grandes inspirations et expirations.",
75,Infections virales,Cutanée,"10 gouttes,36;5 gouttes,30;10 gouttes,42;10 gouttes,13","9ml,7",,"Appliquez 3 à 5 gouttes sur l'intérieur des poignets et sur le bas du dos, à hauteur des reins, 2 à 3 fois par jour.",
76,Infections virales,Bain aromatique,"3 gouttes,36;2 gouttes,30;3 gouttes,42;3 gouttes,13",,,Mélangez dans un fond de savon liquide et versez dans l'eau du bain. L'eau du bain sera idéalement à 38°C. Durée du bain 20 minutes. Durant 5 à 7 jours.,
77,Infections virales,Voie orale,"10 gouttes,36;5 gouttes,30;10 gouttes,42;10 gouttes,13",,,"Prenez 1 à 2 gouttes du mélange sur une cuillère à café de miel après les principaux repas, 2 fois par jour, pendant 5 à 7 jours.",
78,Insomnie,Diffusion,"5 gouttes,22;5 gouttes,25",,,"Diffusez le mélange dans la chambre, 15 minutes avant le coucher.",Les huiles essentielles ne doivent jamais être diffusées durant le sommeil.
79,Insomnie,Diffusion,"5 gouttes,34;5 gouttes,25",,,"Diffusez le mélange dans la chambre, 15 minutes avant le coucher.",Les huiles essentielles ne doivent jamais être diffusées durant le sommeil.
80,Insomnie,Olfaction,"6 gouttes,22;2 gouttes,3",,,"Déposez sur un stick inhalateur ou un mouchoir, et respirez profondément avant le coucher ou la nuit, en cas de réveils nocturnes.",
81,Insomnie,Cutanée,"20 gouttes,22;20 gouttes,25","10ml,8",,"Appliquez quelques gouttes du mélange sur l'intérieur des poignets, la voûte plantaire et le plexus solaire. Massez lentement jusqu'à pénétration. Le soir au coucher, et en journée sur l'intérieur des poignets, pour préparer à la détente.",
82,Insomnie,Bain aromatique,"10 gouttes,22",,,Mélangez dans un fond de savon liquide et versez dans l'eau du bain. L'eau du bain sera idéalement à 37°C. Durée du bain 20 minutes. Le soir avant le coucher.,
83,Insomnie,Cutanée,"6 gouttes,22;2 gouttes,26","1 c. à café,1",,"Appliquez à l'intérieur des poignets, sur la voûte plantaire, sur le plexus solaire et, si possible, le long de la colonne vertébrale. Le soir au coucher, et en journée sur l'intérieur des poignets pour préparer à la détente.",
84,Insomnie,Voie orale,"1 goutte,26",,,"A prendre dans 1 cuillère à café de miel, 1 heure avant le coucher.",
85,Laryngite,Bain aromatique,"5 gouttes,13;5 gouttes,36",,,"Mélangez dans un fond de savon liquide, et versez dans le bain. Tous les jours jusqu'à amélioration.",
86,Laryngite,Voie orale,"1 goutte,6;1 goutte,43",,,"A prendre dans 1 cuillère à café de miel, 2 à 3 fois par jour.","L'huile essentielle de thym à thujanol (thymus vulgaris thujanoliferum), plus cher, est plus spécifique pour les affections liées à la voix, aux cordes vocales."
87,Mycose des pieds,Cutanée,"2 gouttes,22;2 gouttes,46;2 gouttes,20;3 gouttes,43;6 gouttes,42","1 c. à soupe,2",,"Appliquez 5 gouttes du mélange sous les orteils et entre les orteils, 3 à 4 fois par jour, jusqu'à guérison complète.",La guérison complète d'une mycose des pieds peut prendre plusieurs semaines.
88,Nausées (chez l'adulte),Olfaction,"1 flacon,27",,,"Respirez calmement au flacon durant 1 à 2 minutes toutes les heures, avec de grandes inspirations et expirations, jusqu'à disaprition des nausées.","Absolument contre-indiqué chez les femmes enceintes et allaitantes, et chez les enfants en bas âge."
89,Nausées (chez l'enfant et la femme enceinte),Olfaction,"1 flacon,6",,,"Respirez calmement au flacon durant 1 à 2 minutes toutes les heures, avec de grandes inspirations et expirations, jusqu'à disaprition des nausées.",
90,Nausées (chez l'adulte),Voie orale,"1 goutte,27",,,"A prendre sur 1 sucre ou dans une cuillère à café de miel. Ou une demi goutte sur le bout de l'index, puis à appliquer sur la langue, puis déglutir.","Absolument contre-indiqué chez les femmes enceintes et allaitantes, et chez les enfants en bas âge."
91,Nausées (chez l'enfant et la femme enceinte),Voie orale,"1 goutte,6",,,A prendre sur 1 sucre ou dans une cuillère à café de miel. A prendre plusieurs fois par jour si nécessaire.,
92,Nausées,Voie orale,"2 gouttes,6",,,A prendre sur un peu de mie de pain avant le repas.,"C'est ce que l'on appelle une prise apéritive, parfaitement adaptée si vous être sujet aux nausées sans raisons précises."
93,Nausées (chez l'adulte),Voie orale,"10 gouttes,1;20 gouttes,38;5 gouttes,27",,,"Prendre 1 goutte de ce mélange dans 1/2 cuillère à café de miel, en fin de repas, jusqu'au retour d'une meilleure digestion.",
94,Otite,Cutanée,"1 goutte,22;2 gouttes,13;1 goutte,42","1 c. à café,6",,"Appliquez 4 gouttes du mélange autour du pavillon externe de l'oreille, toutes les 2 heures, durant 7 jours.","Ne jamais mettre d'huile essentielle dans le conduit de l'oreille (oreille interne), ni pure ni diluée!"
95,Pharyngite,Diffusion,"5 gouttes,36;2 gouttes,30;3 gouttes,6",,,"Diffusez le mélange, 3 fois 10 minutes par jour, dans les pièces à vivre.",
96,Pharyngite,Olfaction,"5 gouttes,36;2 gouttes,30;3 gouttes,6",,,"A déposer sur un mouchoir ou un stick inhalateur. Respirez quelques minutes, toutes les heures, jusqu'à apaisement.",
97,Pharyngite,Voie orale,"1 goutte,47;1 goutte,6",,,"A prendre dans une cuillère à café de miel ou sur un petit sucre. Laissez fondre sous la langue, 1 à 3 fois par jour",Vous pouvez déguster ce miellat dans une tisane chaude.
98,Pharyngite,Voie orale,"1 goutte,43;1 goutte,6",,,"A prendre dans une cuillère à café de miel ou sur un petit sucre. Laissez fondre sous la langue, 1 à 3 fois par jour",Vous pouvez déguster ce miellat dans une tisane chaude.
99,Pharyngite (chez adultes),Cutanée,"10 gouttes,42;10 gouttes,36;10 gouttes,52","10ml,11",,"Appliquer quelques gouttes doucement sur le cou et sous la mâchoire (ganglions lymphatiques), 1 à 4 fois par jour.",
100,Pharyngite (chez l'enfants de 6 à 12 ans),Cutanée,"6 gouttes,42;6 gouttes,36;6 gouttes,52","15ml,11",,"Appliquer quelques gouttes doucement sur le cou et sous la mâchoire (ganglions lymphatiques), 1 à 4 fois par jour.",
101,Pharyngite (chez l'enfants de moins de 3 ans),Cutanée,"3 gouttes,42;3 gouttes,36;3 gouttes,52","15ml,11",,"Appliquer quelques gouttes doucement sur le cou et sous la mâchoire (ganglions lymphatiques), 1 à 4 fois par jour.",
102,Pharyngite,Bain aromatique,"8 gouttes,13;4 gouttes,43",,,"Mélangez dans un fond de savon liquide et versez dans l'eau du bain. L'eau du bain sera idéalement à 38°C. Durée du bain 20 minutes, durant 3 à 5 jours.",
103,Phlébite (en accompagnement d'un suivi médical),Cutanée,"2 gouttes,14;4 gouttes,19;2 gouttes,8;2 gouttes,37","1 c. à café,3;2 c. à café,12",,"Appliquez le mélange le long de la zone enflammée (une fois la crise passée pour ne pas mobiliser les caillots), en remontant le long de la jambe. A répéter plusieurs fois par jour.","La phlébite est une affection très sérieuse. Il faut, avant toute chose, consulter un médecin pour évaluer la situation. Toute la durée de l'affection doit être placée sous controle médical!"
104,Piqûre (premiers gestes),Cutanée,"1 ou 2 gouttes,21",,,Appliquez pure sur le point de piqûre. Massez jusqu'à pénétration et recommencez le processus quelques minutes plus tard.,
105,Piqûre ,Cutanée,"15 gouttes,21;10 gouttes,42;3 gouttes,27","10ml,3",,Appliquez 2 à 3 gouttes sur la piqûre dès qu'il y a démangeaison.,
106,"Plaies, coupures et saignements (bénins)",Cutanée,"2 gouttes,5",,,"Appliquez directement sur la petite plaie ou coupure, même si elle saigne encore. A renouveler toutes les deux heures au besoin.",L'huile essentielle de Ciste ladanifère est à la seule et unique à pouvoir être déposée sur une petite plaie ouverte sans risque.
107,"Plaies, coupures et saignements (refermés)",Cutanée,"2 gouttes,46","5 gouttes,1",,"Appliquez sur la plaie tout juste refermée,  fois par jour, jusqu'à cicatrisation complète",
108,"Plaies, coupures et saignements (refermés)",Cutanée,"2 gouttes,22","5 gouttes,1",,"Appliquez sur la plaie tout juste refermée, fois par jour, jusqu'à cicatrisation complète",
109,Psoriasis,Cutanée,"20 gouttes,22;10 gouttes,16;5 gouttes,20;5 gouttes,13;5 gouttes,19","15ml,3;12ml,10",,"Appliquez directement sur les zones à traiter, et massez jusqu'à pénétration complète. 3 à 4 fois par jour jusqu'à apaisement.",
110,Psoriasis,Olfaction,"7 gouttes,9;1 goutte,28;1 goutte,20",,,"A déposer sur un mouchoir ou un stick inhalateur. Respirez profondément, tout au long de la journée.","La psoriasis a bien souvent des origines psychosomatiques, et le stress augmente le développement de plaques. Avec ce mélange en olfaction, qui favorise la détente, vous intervenez directement sur l'état de stress."
111,Radiodermite (préventions),Cutanée,"15 gouttes,42;15 gouttes,30;5 gouttes,21","6ml,3;10ml,6;13ml,2",,"Appliquez délicatement 5 gouttes du mélange sur les zones irradiées ou lésées, 4 heures minimum après l'irradiation, puis matin et soir durant tout le traitement radiothérapique.",
112,Rhinite aiguë (rhume),Diffusion,"70 gouttes,36;70 gouttes,13;35 gouttes,6",,,"Diffusez 10 gouttes du mélange dans les pièces à vivre, 3 fois par jour durant 10 minutes, pendant la durée de l'affection.",
113,Rhinite aiguë (rhume),Olfaction,"3 gouttes,13;2 gouttes,30;5 gouttes,39;1 goutte,27",,,"A déposer sur un mouchoir ou un stick inhalateur. Respirez profondément, tout au long de la journée.",
114,Rhinite aiguë (rhume),Bain aromatique,"7 gouttes,36;7 gouttes,13",,,"Mélangez dans un fond de savon liquide (ou de dispersant), et versez dans l'eau du bain. Durée du bain: 20 minutes.",
115,Rhinite aiguë (rhume),Cutanée,"6 gouttes,13;6 gouttes,36;2 gouttes,42","1 c. à soupe,3",,"Appliquez le mélange sur le thorax, sur le haut du dos, le long de la colonne vertébrale et/oiu sur la voûte plantaire. Massez jusqu'à pénétration complète, 4 à 6 fois par jour pendant 7 jours.","Après application vous pouvez appliquez l'excédant de mélange, présent sur vos doigts, sur les sinus et sur les ailes du nez. Toujours à bonne distance des yeux!"
116,Rhinite aiguë (rhume),Voie orale,"1 goutte,43;1 goutte,13",,,"A prendre dans 1 cuillère à café de miel, 1/2 sucre ou encore sur un peu de mie de pain. 3 fois par jour après les repas, durant 7 jours. ",
117,Rhinite allergique (rhume des foins),Voie orale,"70 gouttes,10;70 gouttes,3",,,"Prendre 2 gouttes du mélange dans une cuillère à café de miel, sur un sucre ou sur un peu de mie de pain, après les 3 principaux repas, durant 15 jours. ",Ce mélange est un complément. Il ne remplace pas le traitement médical prescrit par votre médecin lors d'une crise allergique.
118,Rhinite allergique (rhume des foins),Cutanée,"4 gouttes,13;2 gouttes,56","1 c. à soupe,1",,"Appliquez délicatement 2 gouttes du mélange sur les sinus et les ailes du nez. Plusieurs fois par jour, à bonne distance des yeux!",
