REF,NomTisane,NomLatin,Provenance,OrganeProducteur,Sb,Properties,Indications,ContreIndications,Note,Description
11,Bouleau,Betula alba,Europe,Feuilles;Bourgeons;Ecorce;Sève,Flavonoïdes;Rutoside;Acides-phénol;Triterpènes;Tanins; Acide bétulinique (écorce),Diurétique;Dépurative;Drainant des ganglions lymphatiques (bourgeons);Digestif (écorce);Fébrifuge (écorce),Rétention d'eau;Problèmes urinaires;Calculs rénaux;Maladies de peau (dartres),Insuffisance rénale,"En infusion: 5 grammes de feuilles pour 200ml d'eau bouillante. Laisser infuser 10 à 15 minutes. 3 tasses par jour.
En décoction: 1 cuillère à café d'écorce pour 200ml d'eau. Laisser bouillir 5 minutes, puis infuser 10 minutes feu éteint. 3 tasses par jour avant les repas.","Découvrez les bienfaits du Bouleau, une tisane européenne réputée pour ses propriétés diurétiques, dépuratives et digestives. Riche en flavonoïdes, rutoside, acides phénoliques, triterpènes et tanins, cette infusion aide à éliminer la rétention d'eau, soulager les problèmes urinaires et prévenir les calculs rénaux. Les bourgeons agissent comme drainants des ganglions lymphatiques, tandis que l'écorce possède des vertus digestives et fébrifuges. À consommer avec précaution en cas d'insuffisance rénale. Préparez une infusion en laissant infuser 5 grammes de feuilles dans 200 ml d'eau bouillante pendant 10 à 15 minutes et buvez 3 tasses par jour. Pour la décoction, utilisez une cuillère à café d'écorce pour 200 ml d'eau, faites bouillir 5 minutes, puis laissez infuser 10 minutes à feu éteint avant les repas."
12,Bourrache,Borago officinalis,Bassin méditerranéen,Fleurs;Feuilles;Tiges,Tanins;Nitrate de potassium (feuilles et tiges);Alacloïdes pyrrolizidiniques;Mucilage (fleurs),Anti-inflammatoire;Diurétique;Sudorifique;Emoliente;Dépuratif,Rétention d'eau;Inflammation;Troubles respiratoires,,"En infusion: 4 à 8 grammes de fleurs ou de sommités fleuries (fleurs, feuilles, tiges) pour 200ml d'eau frémissante. Laisser infuser 10 minutes. 3 à 4 tasses par jour.

En salade: Vous pouvez ajouter quelques fleurs de bourrache dans vos salades pour leur apporter un délicieux goût supplémentaire.","La Bourrache, originaire du bassin méditerranéen, est une tisane aux multiples vertus anti-inflammatoires, diurétiques et dépuratives. Composée de tanins, nitrate de potassium, alcaloïdes pyrrolizidiniques et mucilage, elle est idéale pour traiter la rétention d'eau, les inflammations et les troubles respiratoires. Parfaite pour apaiser les inflammations internes et externes, elle peut également être consommée en salade pour son délicieux goût. Préparez une infusion en utilisant 4 à 8 grammes de fleurs ou de sommités fleuries dans 200 ml d'eau frémissante, laisser infuser pendant 10 minutes et consommez 3 à 4 tasses par jour. Pour une touche gourmande, ajoutez quelques fleurs de bourrache à vos salades."
13,Busserole,Arctostaphylos uva-ursi,Europe;Asie;Amérique du Nord;Amérique centrale,Feuilles,Hétérosides phénoliques;Arbutoside;Tanins;Flavonoïdes;Triterpènes;Iridoïde,Antiseptique urinaire;Diurétique;Astringent,Infections urinaires;Troubles rénaux;Diarrhées;Leucorrhée (pertes vaginales),Grossesse;Allaitement;Enfants de moins de 12 ans;Insuffisance rénale;Ulcère;Prise d'anti-inflammatoires;Prise de vitamine C;Constipation chronique;Ne pas porlonger le traitement au-delà de 2 semaines et pas plus de 5 fois par an.,"En décoction: 10 grammes de feuilles pour 1/2 litre d'eau. Faire bouillir 3 minutes, puis infuser 10 minutes feu éteint. 3 bols par jour pendant 10 jour en cas d'infection urinaire.
En cas de nausées, réduisez le grammage par litre.","La Busserole est une tisane puissante utilisée principalement pour ses propriétés antiseptiques urinaires et diurétiques. Riche en hétérosides phénoliques, arbutoside, tanins et flavonoïdes, elle est efficace contre les infections urinaires, les troubles rénaux et les leucorrhées. À consommer avec prudence durant la grossesse, l'allaitement et en cas d'insuffisance rénale. Préparez une décoction en faisant bouillir 10 grammes de feuilles dans un demi-litre d'eau pendant 3 minutes, puis laissez infuser 10 minutes à feu éteint. Consommez 3 bols par jour pendant 10 jours en cas d'infection urinaire. En cas de nausées, réduisez la quantité par litre d'eau."
14,Calendula/Souci,Calendula officinalis,Europe,Fleurs,Flavonoïdes;Caroténoïdes;Triterpènes;Xanthophylles;Mucilage;Phytostérols;Saponosides,Anti-inflammatoire;Antibactérienne;Cicatrisant;Anti-infectieux;Anti-fongique;Emménagogue;Légèrement oestrogen-like;,Problèmes de peau;Plaies;Acné;Eczéma;Psoriasis;Cors;Verrues;Favorise l'apparition des règles;Règles douloureuses;Inflammation digestive;Brûlures d'estomac,Allergies à la famille des astéracées,"En infusion: 6 grammes de fleurs pour 200 ml d'eau frémissante. Laisser infuser 10 minutes. 3 à 4 tasse par jours. Pour provoquer ou régulariser le cycle menstruel, suivre ce traitement pendant les 10 à 15 jours avant la date présumée des règles.
En décoction (usage externe): 50 grammes de fleurs pour 1/2 litre d'eau. Faire bouillir 2 minutes, puis infuser 10 minutes feu éteint. Idéale en gargarisme (aphtes, gengivites, stomatites), en bain de pieds, en compresse pour les affections de la peau.","Le Calendula, ou Souci, est une tisane européenne reconnue pour ses propriétés anti-inflammatoires, antibactériennes et cicatrisantes. Riche en flavonoïdes, caroténoïdes, triterpènes et mucilages, elle est idéale pour traiter les problèmes de peau tels que l'acné, l'eczéma, et les brûlures d'estomac. Parfaite pour favoriser l'apparition des règles et soulager les douleurs menstruelles. À consommer avec précaution en cas d'allergies aux astéracées. Préparez une infusion en laissant infuser 6 grammes de fleurs dans 200 ml d'eau frémissante pendant 10 minutes et buvez 3 à 4 tasses par jour. Pour un usage externe, préparez une décoction avec 50 grammes de fleurs dans un demi-litre d'eau bouillante pendant 2 minutes, puis laissez infuser 10 minutes feu éteint. Idéale pour les gargarismes, bains de pieds ou compresses pour la peau."
15,Camomille allemande/matricaire,Matricaria chamomilla/Chamomilla recutita,Europe;Asie;Afrique du Nord,Fleurs,Chamazulène;Alpha-bisabolol;Flavonoïdes;Apigénine;Lactones sesquiterpéniques;Coumarines;Mucilages,Antispasmodique;Calmante;Anti-inflammatoire;Apéritive;Digestive;Calmante,Troubles digestifs;Insomnie;Anxiété;Manque d'appétit;Acidité gastrique;Affections cutanées;Irriattions des muqueuses.Cheveux blonds,Allergies à la famille des astéracées,"En infusion: 5 grammes de fleurs pour 200ml d'eau frémissante. Laisser infuser 10 minutes. 3 à 4 tasses par jours.
En décoction (usage externe): 50 grammes de fleurs pour 1 litre d'eau. Faire bouillir 20 minutes. Laisser tiédir. A utliser comme dernière eau de rinçage pour les cheveux blonds ou en compresse sur les yeux ou la peau affectés.","La Camomille Allemande, également connue sous le nom de Matricaire, est une tisane appréciée pour ses propriétés antispasmodiques, calmantes et anti-inflammatoires. Composée de chamazulène, alpha-bisabolol, flavonoïdes et mucilages, elle est parfaite pour soulager les troubles digestifs, l'insomnie, l'anxiété et les affections cutanées. À consommer avec précaution en cas d'allergies aux astéracées. Préparez une infusion en laissant infuser 5 grammes de fleurs dans 200 ml d'eau frémissante pendant 10 minutes et buvez 3 à 4 tasses par jour. Pour un usage externe, préparez une décoction avec 50 grammes de fleurs dans un litre d'eau bouillante pendant 20 minutes, laissez tiédir et utilisez comme dernière eau de rinçage pour les cheveux blonds ou en compresses pour les yeux et la peau."
16,Cardamome,Elettaria cardamomum,Inde,Graines,Camphre;Bornéol;Pinène;Carvone,Digestive;Carminative;Stimulante,Maux d'estomac;Flatulences;Coliques,Grossesse;Maladies cardiaques;Maladies hépatiques,En infusion: 5 grammes de graines pour 200ml d'eau bouillante. Laisser infuser 10 minutes. 1 tasse après chaque repas.,"La Cardamome est une tisane indienne aux propriétés digestives, carminatives et stimulantes. Riche en camphre, bornéol, pinène et carvone, elle est idéale pour soulager les maux d'estomac, les flatulences et les coliques. À éviter durant la grossesse et en cas de maladies cardiaques ou hépatiques. Préparez une infusion en laissant infuser 5 grammes de graines dans 200 ml d'eau bouillante pendant 10 minutes et buvez une tasse après chaque repas pour une digestion optimale."
17,Cassis,Ribes nigrum,Europe,Feuilles,Flavonoïdes;Tanins,Anti-inflammatoire;Antioxydante;Diurétique;Antirhumatismal;Stimulant du système nerveux sympathique;Hypotenseur,Arthrite;insuffisance veineuse;Goutte;Rhumatismes;Artériosclérose;Tension artérielle;Stress;Allergies;Maux de gorge (gargarisme);Aphtes (gargarisme),Grossesse;Allaitement;Enfants de moins de 18 ans;Insuffisance cardiaque;Insuffisance rénale,"En infusion: 5 grammes de feuilles pour 200ml d'eau bouillante. Laisser infuser 10 minutes. 3 tasses par jour entre les repas. 
Usage externe: Contre les piqûre de guêpe, frelon. Froisser des feuilles de cassis pour en faire sortir le suc sur l'endroit de la piqûre pour atténuer les effets en attendant le médecin ou d'aller aux urgences en cas de surréaction.
En cas de doute il faut absolument consulter au plus vite.
","Le Cassis est une tisane européenne réputée pour ses propriétés anti-inflammatoires, antioxydantes et diurétiques. Riche en flavonoïdes et tanins, elle est particulièrement efficace contre l'arthrite, l'insuffisance veineuse, la goutte, les rhumatismes et le stress. À consommer avec précaution durant la grossesse, l'allaitement et chez les enfants de moins de 18 ans. Préparez une infusion en laissant infuser 5 grammes de feuilles dans 200 ml d'eau bouillante pendant 10 minutes et buvez 3 tasses par jour entre les repas. En usage externe, les feuilles écrasées peuvent être appliquées sur les piqûres d'insectes pour atténuer les effets en attendant une prise en charge médicale.
"
18,Chardon-Marie,Silybum marianum,Méditerranée,Graines,Silymarine;Flavonoïdes;Tyramine,Hépatoprotectrice;Cholagogue;Décongestionnant hépatique;Régénérante cellulaire du foie,Protection du foie;Désintoxication;Détoxification,"Allergies aux asteracées;Obstruction des voies biliaires;Interractions médicamenteuses, en cas de traitement, demandez conseil à votre pharmacien avant toute prise;Grossesse;Allaitement;Enfant de moins de 18 ans",,"Le Chardon-Marie est une tisane méditerranéenne célèbre pour ses vertus hépatoprotectrices et régénératrices du foie. Riche en silymarine, flavonoïdes et tyramine, elle aide à la protection du foie, la désintoxication et la détoxification. À consommer avec précaution en cas d'allergies aux astéracées, obstruction des voies biliaires ou durant la grossesse et l'allaitement. Consultez votre pharmacien en cas de traitement médicamenteux. Préparez une infusion en utilisant les graines selon les recommandations spécifiques pour bénéficier de ses bienfaits pour le foie."
19,Chicorée,Cichorium intybus,Hémisphère Nord,Racines;Feuilles,Inuline (racines);Lactones sesquiterpéniques,Digestive;Dépurative;Cholérétique;Cholagogue;Diurétique;Stomachique;Tonique hépatiques;Antirhumatismale,Troubles digestifs;Santé du foie;Rhumatismes;Goutte;Soif liée au diabète;Elimination urinaire chez les diabétiques.,Calculs biliaires;Insiffusance rénale,"En infusion: 3 grammes de feuilles séchées pour 200ml d'eau bouillante. Laisser infuser 10 minutes. 2 à 3 tasses par jour avant les repas.
En décoction: 10 grammes de racines séches pour 1/2 litre d'eau. Faire bouillir 3 minutes et laisser infuser 10 minutes feu éteint. 2 à 3 tasse par jour avant les repas.
En salade de jeunes pousses de chicorée. Donne de l'appétit (apéritive), diurétique et déconstipante. Et excellente avec sa petite amertume!","La Chicorée est une tisane polyvalente utilisée pour ses propriétés digestives, dépuratives et cholérétiques. Riche en inuline et lactones sesquiterpéniques, elle favorise la santé du foie, soulage les troubles digestifs et aide à l'élimination urinaire, particulièrement chez les diabétiques. À consommer avec précaution en cas de calculs biliaires ou d'insuffisance rénale. Préparez une infusion en laissant infuser 3 grammes de feuilles séchées dans 200 ml d'eau bouillante pendant 10 minutes et buvez 2 à 3 tasses par jour avant les repas. Pour une décoction, utilisez 10 grammes de racines sèches dans un demi-litre d'eau bouillante pendant 3 minutes, puis laissez infuser 10 minutes à feu éteint. Ajoutez les jeunes pousses de chicorée à vos salades pour un goût légèrement amer et des bienfaits digestifs."
20,Chiendent,Agropyron repens,Hémisphère Nord,Rhizome,Mucilage,Diurétique doux;Anti-inflammatoire,Rétention d'eau;Troubles urinaires;Calculs rénaux;Cystites;Maladies fébriles,Grossesse,En décoction: 10 grammes pour 1/2 litre d'eau. Faire bouillir 30 minutes. 2 à 3 tasses par jour.,"Le Chiendent est une tisane douce réputée pour ses propriétés diurétiques et anti-inflammatoires. Riche en mucilage, elle est idéale pour traiter la rétention d'eau, les troubles urinaires, les calculs rénaux, les cystites et les maladies fébriles. À consommer avec précaution durant la grossesse. Préparez une décoction en faisant bouillir 10 grammes de rhizome dans un demi-litre d'eau pendant 30 minutes et buvez 2 à 3 tasses par jour pour bénéficier de ses effets diurétiques et apaisants."
21,Consoude,Symphytum officinalis,Europe;Asie,Racine,Allantoïne;Tanins;Mucilage;Asparagine;Choline;Triterpènes;Acides phénoliques;Alcaloïdes pyrrolizidiniques,Cicatrisante;Anti-inflammatoire,Plaies;Entorses;Contusions;Ulcères variqueux;Gerçures mammaires;Fissures anales;Brûlures,Grossesse;Allaitement;Eviter la prise par voie interne,"En cataplasme de racines fraîches broyées. Deposer la préparation entre deux linges chaud et appliquer sur la zone à soigner.
En macération très concentrée dans une huile végétale.","La Consoude est une plante médicinale européenne et asiatique reconnue pour ses propriétés cicatrisantes et anti-inflammatoires. Riche en allantoïne, tanins, mucilage et autres composés bénéfiques, cette tisane est idéale pour traiter les plaies, entorses, contusions, ulcères variqueux, gerçures mammaires et brûlures. À utiliser avec précaution, elle est contre-indiquée durant la grossesse et l'allaitement, et éviter la prise interne. Pour une application efficace, préparez un cataplasme en broyant des racines fraîches et en déposant la préparation entre deux linges chauds sur la zone à soigner. Vous pouvez également réaliser une macération très concentrée dans une huile végétale pour des affections cutanées spécifiques."
22,Coquelicot,Papaver rhoeas,Moyen-Orient,Fleurs,Mucilage;Tanins;Alcaloïdes;Anthocyanines,Sédative;Calmante;Antispasmodique;Sudorifique;Adoucissant,"Insomnie (enfants,personnes âgées);Toux sèche;Quinte de toux;Nervosité;Angines;Inflammation des paupières;Abcès dentaires (bains de bouche)",Grossesse;Allaitement;Jeunes enfants (moins de 7 ans),"En infusion: 3 grammes de fleurs séchées pour 200ml d'eau. Laisser infuser 10 minutes. 3 tasses par jour.
En cataplasme: A appliquer sur la joue en cas d'abcès dentaire ou sur les papupière en cas d'inflammation.","Le Coquelicot est une tisane aux multiples vertus sédatives et calmantes, originaire du Moyen-Orient. Composée de mucilage, tanins, alcaloïdes et anthocyanines, elle est parfaite pour soulager l'insomnie chez les enfants et les personnes âgées, apaiser les toux sèches et les quintes de toux, ainsi que réduire la nervosité et les inflammations oculaires. À consommer avec précaution durant la grossesse, l'allaitement et pour les jeunes enfants de moins de 7 ans. Préparez une infusion en laissant infuser 3 grammes de fleurs séchées dans 200 ml d'eau pendant 10 minutes et buvez 3 tasses par jour. Pour un usage externe, appliquez un cataplasme sur la joue en cas d'abcès dentaire ou une compresse sur les paupières en cas d'inflammation."
23,Curcuma,Curcuma longa,Asie,Rhizome,Curcuminoïdes;Hydrate de carbone;Zingibérène;Turmérone,Anti-inflammatoire;Antioxydant;Cholérétique;Cholagogue;Antibactérienne;Fluidifiant sanguin;Digestif;Cicatrisant;Bactériostatique,Arthrite;Douleurs articulaires;Troubles digestifs;Détoxification du foie;Plaies,Calculs biliaires;Grossesse;Allaitement;Enfants de moins de 18 ans hors usage alimentaire,"En Décoction: 2 cuillères à café de racine concassées pour 200ml d'eau.Faire bouillir 3 minutes puis infuser 10 minutes feu éteint. 3 tasses par jour.
En poudre: Ajouter 1 cuillère à café par jour dans votre alimentation.
En cataplasme: 1 cuillère à café délayée dans un peu d'eau. A appliquer 3 fois par jour sur les affections cutanées (dermatoses, plaies...)","Le Curcuma est une tisane asiatique renommée pour ses puissantes propriétés anti-inflammatoires et antioxydantes. Riche en curcuminoïdes, zingibérène et autres composés actifs, elle est idéale pour traiter l'arthrite, les douleurs articulaires, les troubles digestifs et la détoxification du foie. Contre-indiquée en cas de calculs biliaires, grossesse, allaitement et pour les enfants de moins de 18 ans hors usage alimentaire. Préparez une décoction en faisant bouillir 2 cuillères à café de racine concassée dans 200 ml d'eau bouillante pendant 3 minutes, puis laissez infuser 10 minutes à feu éteint. Consommez 3 tasses par jour. Vous pouvez également ajouter du curcuma en poudre à votre alimentation ou l'utiliser en cataplasme pour traiter les affections cutanées."
